nct_id,title,official_title,status,phase,start_date,completion_date,enrollment,num_locations,min_age_years,max_age_years,study_type,allocation,vaccine_names,all_interventions,sponsor,collaborators,countries,primary_outcome,summary,sex,healthy_volunteers,url,source,fetched_at,cleaned_at,quality_score,_source,pmid,authors,journal,publication_date,volume,issue,pages,doi,pub_type
NCT02811120,PRIME Follow up - Quadri Meningo Vacinees,"An Observational Follow up Study of a Phase II/III, Open Label, Randomised Study of the Safety, Reactogenicity and Immunogenicity of a Single Dose of Meningococcal ACWY Conjugate Vaccine (Menveo, Glaxosmithkline or Nimenrix, Pfizer) in Adolescents Who Were Primed With Meningitec, Menjugate or Neisvac-C During Preschool Vaccination",COMPLETED,UNKNOWN,2016-12-01,2017-12-01,57.0,0.0,,,OBSERVATIONAL,,,,Public Health England,N/A,N/A,,"A previous cohort of 93 clinical trial participants received quadrivalent meningococcal conjugate vaccine, which includes strains ACW and Y, in their teenage years. The vaccine also contains components of diphtheria and tetanus which are linked to the meningitis components, in a process called conjugation, to improve their effectiveness. Participants are now aged 19-25 and will be invited to take part in this study, which will assess antibody persistence over time. This will provide information about the duration of protection by relating current antibody levels to those measured in the previous study, and will underpin the national immunisation schedule in providing optimal immunisation schedule. As well as the meningitis antibodies the investigators will assess diphtheria and tetanus antibody levels. The study will involve a single blood test of up to 8mL. Participants will be informed of their results and any with an antibody level that does not infer protection against strain W will be offered an extra dose of vaccine as part of a duty of care. The study will involve a single blood test of up to 8mL. Participants will be informed of their results and any with an antibody level that does not infer protection against strain W will be offered an extra dose of vaccine.",ALL,,https://clinicaltrials.gov/study/NCT02811120,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,80,clinicaltrials,,,,,,,,,
NCT00325130,"Concomitant Use of Gardasil (V501) (Human Papillomavirus [Types 6, 11, 16, 18] Recombinant Vaccine) With Combined Diphtheria, Tetanus, Pertussis Vaccine and Meningococcal Conjugate Vaccine in Adolescents (V501-025)","An Open-Label, Randomized, Multicenter Study of the Safety, Tolerability, and Immunogenicity of V501 Given Concomitantly With Menactra™ and ADACEL™ in Healthy Adolescents 11-17 Years of Age",COMPLETED,PHASE_3,2006-04-01,2007-04-01,1042.0,0.0,11.0,17.0,INTERVENTIONAL,,,,Merck Sharp & Dohme LLC,N/A,N/A,,"Data from this study are expected to demonstrate that V501 (Human Papillomavirus (HPV) \[Types 6, 11, 16, 18\] Recombinant Vaccine) , when administered concomitantly with a combined diphtheria, tetanus, pertussis (Tdap) vaccine and a meningococcal conjugate vaccine in adolescents remains immunogenic and well-tolerated and it does not impair the immunogenicity of the concomitant vaccines.",ALL,,https://clinicaltrials.gov/study/NCT00325130,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT02712177,Bexsero™and Routine Infant Vaccines: Effect of Coadministration on the Safety of Immunization,Interaction Between Meningococcal Serogroup B Vaccine (Bexsero™) and Routine Infant Vaccines on the Risk of Occurrence and Recurrence of Adverse Events Following Immunization.,COMPLETED,UNKNOWN,2008-08-01,2019-04-01,4535.0,0.0,0.17,1.17,OBSERVATIONAL,,,,CHU de Quebec-Universite Laval,N/A,N/A,,"Bexsero™ is a four component serogroup B meningococcal vaccine (4CMenB) licensed in Europe, Canada, and Australia in 2014. Prelicensure studies and post marketing surveillance data showed that 4CMenB has a high reactogenicity especially when coadministered with other infant routine vaccines \[1-2\]. While this suggests that coadministration causes an interaction resulting in a greater risk of adverse events following Immunization (AEFI) only the AEFI after the 4CMenB dose and not those occurring after routine vaccine immunizations were reported, underestimating the total risk associated with immunization at separate visits. For financial and practical reasons, coadministration of infant vaccines is preferred to separate visits. Separate visits may however be preferred if the sum of the AEFI risk at each visit is significantly smaller than the risk with coadministration and/or if the AEFI has a lesser severity. The purpose of this study is to recalculate the risk of occurrence and severity of AEFI with the coadministration of Bexsero™ and routine vaccines compared to separate injections to assess the interaction occurring with co-administration. Investigators will also estimate the risk of recurrence of AEFI at subsequent immunizations with the 4CMenB and assess if this risk varies with separate or coadministration with routine vaccines. To achieve these purposes, investigators will perform a secondary analysis of the data of three randomized controlled trials (clinicaltrials.gov identifiers: NCT00657709, NCT00847145 and NCT00721396) that evaluated 5025 children aged 2 to 14 months of whom 4535 were randomized to receive 3 to 4 doses of 4CMenB concomitantly or alternatively with routine vaccinations (DTaP-Inactivated polio virus -HepatitisB/Haemophilus influenzae type b \[Infanrix Hexa™\], Pneumococcal conjugate vaccine, 7 valent \[Prevenar™\] or Measles-Mumps-Rubella-Varicella vaccine \[Priorix-Tetra™\]) \[1,2\].",ALL,,https://clinicaltrials.gov/study/NCT02712177,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,90,clinicaltrials,,,,,,,,,
NCT00661557,Comparison of GSK134612 in Subjects Previously Vaccinated Against Meningococcal Disease Versus Non-vaccinated Subjects,Immunogenicity & Safety Study of GSK Biologicals' Meningococcal Vaccine GSK134612 Administered in Healthy Subjects Either Previously Primed With Mencevax™ ACWY or naïve to Meningococcal Vaccination.,COMPLETED,PHASE_2,2008-05-19,2008-12-19,271.0,1.0,4.0,34.0,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,Lebanon,,"In this study, subjects who were vaccinated with a meningococcal polysaccharide vaccine in a previous study (whose objectives \& outcome measures are presented in a separate protocol posting with NCT number = 00227422) will be vaccinated with a new vaccine using conjugation technology. These subjects will be compared to subjects vaccinated with the new vaccine, but who were not previously vaccinated with a meningococcal polysaccharide vaccine.",ALL,,https://clinicaltrials.gov/study/NCT00661557,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT00955682,Study to Evaluate Persistence of Antibodies After Vaccination With Meningococcal Vaccine GSK134612,Persistence of Antibodies After GSK Biologicals' Meningococcal Vaccine GSK134612 in Toddlers,COMPLETED,PHASE_3,2009-08-25,2012-09-10,342.0,14.0,1.0,1.92,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,Finland,,Subjects were previously vaccinated at 12 to 23 months of age. This extension study starts 24 months after vaccination and the subjects who were vaccinated in the primary study will be enrolled in this extension phase. No new subjects will be enrolled.,ALL,,https://clinicaltrials.gov/study/NCT00955682,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT06228586,Study on a MenACYW Conjugate Vaccine Administered as a Single Dose in Participants Aged 12 Months and Older in Vietnam,"A Phase III, Open-label, Single-center Study to Describe the Immunogenicity and Safety of a Single Dose of MenACYW Conjugate Vaccine in Participants Aged 12 Months and Older in Vietnam",COMPLETED,PHASE_3,2024-01-18,2024-03-31,447.0,4.0,1.0,,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,Vietnam,,"The MEQ00074 study was a Phase III, open-label, single-center study aimed at describing the immunogenicity and safety of a single dose of investigational quadrivalent Meningococcal Polysaccharide (serogroups A, C, W, and Y) Tetanus Toxoid Conjugate Vaccine (MenACYW conjugate vaccine) in participants aged 12 months and older in Vietnam. The primary objectives of the study were: * To describe the antibody responses to meningococcal serogroups A, C, W, and Y before and 30 days after the administration of a single dose of MenACYW conjugate vaccine * To describe the safety profile of a single dose of MenACYW conjugate vaccine The duration of each participant's participation will be approximately 30 to 44 days.",ALL,,https://clinicaltrials.gov/study/NCT06228586,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,95,clinicaltrials,,,,,,,,,
NCT02955797,Immunogenicity and Safety of an Investigational Quadrivalent Meningococcal Conjugate Vaccine in Toddlers,Immunogenicity and Safety of an Investigational Quadrivalent Meningococcal Conjugate Vaccine in Toddlers 12 to 23 Months of Age.,COMPLETED,PHASE_3,2017-02-24,2017-10-26,918.0,33.0,1.0,1.92,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,"Finland, Germany, Hungary, Spain",,"The purpose of the study was to evaluate the immunogenicity and describe the safety of a single dose of Meningococcal Polysaccharide (Serogroups A, C, Y and W) Tetanus Toxoid (MenACYW) Conjugate vaccine compared to the licensed Meningococcal polysaccharide groups A, C, W-135 and Y (Nimenrix®) Conjugate vaccine in toddlers 12 to 23 months of age in the European Union (EU). The toddlers were either meningococcal vaccine naïve or had received monovalent meningococcal C (MenC) vaccination during infancy to evaluate any potential impact of the meningococcal vaccine background on the immunogenicity and safety profile of the investigational product. Primary Objectives: * To demonstrate the non-inferiority of the antibody response to meningococcal serogroups A, C, Y, and W after a single dose of MenACYW Conjugate vaccine or Nimenrix® in toddlers who either were meningococcal vaccine naïve or had received monovalent MenC vaccination during infancy. * To demonstrate the non-inferiority of the antibody response to meningococcal serogroups A, C, Y, and W after a single dose of MenACYW Conjugate vaccine or Nimenrix® in meningococcal vaccine naïve toddlers. Secondary Objectives: * To compare the antibody responses (geometric mean titers \[GMTs\]) to meningococcal serogroups A, C, Y, and W after a dose of MenACYW Conjugate vaccine or Nimenrix® as measured by serum bactericidal assay using human complement (hSBA) in toddlers who either were meningococcal vaccine naïve or had received monovalent MenC vaccination during infancy. * To compare the antibody responses (GMTs) to meningococcal serogroups A, C, Y, and W after a dose of MenACYW Conjugate vaccine or Nimenrix® as measured by hSBA in meningococcal vaccine naïve toddlers. * To compare the antibody responses (GMTs) to meningococcal serogroups A, C, Y, and W after a dose of MenACYW Conjugate vaccine or Nimenrix® as measured by hSBA in toddlers who received monovalent MenC vaccination during infancy.",ALL,,https://clinicaltrials.gov/study/NCT02955797,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT00355121,Study of Menactra® in Children Aged 4 to 6 Years When Administered Concomitantly With a Fifth Dose of DAPTACEL®,"Immunogenicity and Safety of Meningococcal (Serogroups A, C, Y and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine (Menactra®) in Children Aged 4 to 6 Years in the US When Administered Concomitantly With a Fifth Dose Diphtheria and Tetanus Toxoids and Acellular Pertussis Vaccine Adsorbed.",COMPLETED,PHASE_2,2006-10-01,2009-07-01,882.0,26.0,4.0,7.0,INTERVENTIONAL,,,,Sanofi,N/A,United States,,The purpose of this study is to evaluate the immunogenicity and safety of the concomitant administration of Menactra® vaccine and DAPTACEL® vaccine. The main objectives are: Immunogenicity: To evaluate the antibody responses to both vaccines when Menactra vaccine is given concomitantly with DAPTACEL® compared to when either vaccine is given alone. Safety: To evaluate the rate of local and systemic reactions when DAPTACEL® and Menactra vaccines are administered concomitantly compared to when each vaccine is given alone.,ALL,,https://clinicaltrials.gov/study/NCT00355121,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT02752906,Immunogenicity and Safety of a Booster Dose of an Investigational Quadrivalent Meningococcal Conjugate Vaccine,Immunogenicity and Safety of a Booster Dose of an Investigational Quadrivalent Meningococcal Conjugate Vaccine in Adolescents and Adults,COMPLETED,PHASE_3,2016-04-15,2016-12-19,810.0,30.0,15.0,,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,"Puerto Rico, United States",,"The aim of the study was to describe the safety and antibody response to booster administration with Meningococcal Polysaccharide (Serogroups A, C, Y and W) Tetanus Toxoid (MenACYW) Conjugate vaccine in participants who received their first quadrivalent meningococcal Conjugate vaccine dose in the past 4-10 years. Primary Objective: * To demonstrate the non-inferiority of the vaccine seroresponse of meningococcal serogroups A, C, Y, and W following the administration of a booster dose of MenACYW Conjugate vaccine compared to those observed following the administration of a booster dose of Menactra® in participants who were first vaccinated with 1 dose of a quadrivalent meningococcal vaccine 4 to 10 years before the booster dose. Secondary Objectives: * To evaluate the vaccine seroresponse of meningococcal serogroups A, C, Y, and W measured using human serum bactericidal assay (hSBA) in serum specimens collected 6 days after vaccination in a subset of 120 participants. * To evaluate the antibody responses (geometric mean titers) to serogroups A, C, Y, and W measured using hSBA on Day 0 (pre-vaccination) and Day 30 after vaccination. Observational Objectives: * To describe the antibody titers against meningococcal serogroups A, C, Y, and W measured by hSBA assessed at Day 0, Day 6, and Day 30 days after vaccination. * To describe the antibody responses to the meningococcal serogroups A, C, Y, and W before and 30 days after vaccination with MenACYW Conjugate vaccine or Menactra® measured by rabbit serum bactericidal assay (rSBA) in a subset of participants. * To describe the safety profile of MenACYW Conjugate vaccine compared to that of a licensed Menactra® after booster vaccination.",ALL,,https://clinicaltrials.gov/study/NCT02752906,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,95,clinicaltrials,,,,,,,,,
NCT00329901,Immunogenicity and Safety of the Concomitant Administration of a Tdap Vaccine and Meningococcal ACWY Conjugate Vaccine in Healthy Subjects Aged 11-25 Years,"A Phase 3, Multi-Center, Observer Blind, Controlled, Randomized Study to Compare the Immunogenicity and Safety of the Concomitant Administration of a Combined Tetanus, Reduced Diphtheria, and Acellular Pertussis (Tdap) Vaccine and Chiron (Now Novartis) Meningococcal ACWY Conjugate Vaccine, With Either One Dose of Acellular Pertussis (Tdap) Vaccine, or One Dose of Chiron (Now Novartis) Meningococcal ACWY Conjugate Vaccine, in Healthy Subjects Aged 11-25 Years",COMPLETED,PHASE_3,2006-04-01,2007-12-01,1072.0,14.0,11.0,25.0,INTERVENTIONAL,,,,Novartis Vaccines,N/A,Italy,,Immunogenicity and Safety of the Concomitant Administration of a Tdap Vaccine and Meningococcal ACWY Conjugate Vaccine in Healthy Subjects Aged 11-25 Years,ALL,,https://clinicaltrials.gov/study/NCT00329901,clinicaltrials,2026-01-03T15:50:12.298735,2026-01-03T15:50:12.298735,100,clinicaltrials,,,,,,,,,
NCT01430611,Study of Sanofi Pasteur and Lanzhou Institute's Meningococcal (Group A and C) Polysaccharide Vaccine in Children,Safety and Immunogenicity of Sanofi Pasteur Meningococcal (Groups A and C) Polysaccharide Vaccine Versus Lanzhou Institute for Biological Products Meningococcal (Groups A and C) Polysaccharide Vaccine in Children 2-6 Years of Age in China,COMPLETED,PHASE_4,2011-08-01,2012-11-01,666.0,2.0,2.0,6.0,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,China,,"This study is part of the post-licensure commitment to evaluate the safety and immunogenicity of Meningo A+C vaccine in healthy Chinese children 2 to 6 years of age. Primary Objective: To demonstrate the non-inferiority in terms of seroconversion rate for serogroups A and C, 30 days after a single dose of Sanofi Pasteur Meningococcal (Groups A and C) Polysaccharide Vaccine versus Lanzhou Institute for Biological Products Meningococcal (Groups A and C) Polysaccharide Vaccine. Secondary Objective: * To describe the immunogenicity for serogroups A and C, 30 days after administration of the study vaccines given as a single dose. * To describe the full reactogenicity profile after administration of the study vaccines given as a single dose.",ALL,,https://clinicaltrials.gov/study/NCT01430611,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT03673462,Safety of a Quadrivalent Meningococcal Conjugate Vaccine Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers,A Randomized Study to Describe the Safety of an Investigational Quadrivalent Meningococcal Conjugate Vaccine Administered Concomitantly With Routine Pediatric Vaccines in Healthy Infants and Toddlers,COMPLETED,PHASE_3,2018-09-17,2023-03-16,2797.0,69.0,0.12,0.24,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,"Puerto Rico, United States",,"The primary objective of this study was to describe the safety profile of Meningococcal Polysaccharide (Serogroups A, C, Y, and W) Tetanus Toxoid (MenACYW) Conjugate Vaccine and Meningococcal (Groups A, C, Y and W 135) Oligosaccharide Diphtheria CRM197 (MENVEO®) Conjugate Vaccine when administered concomitantly with routine pediatric vaccines in healthy infants and toddlers.",ALL,,https://clinicaltrials.gov/study/NCT03673462,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00758264,Co-administration of Meningococcal Vaccine GSK134612 and Pneumococcal Vaccine GSK1024850A vs Individual Administration,Immunogenicity & Safety Study of GSK Biologicals' Meningococcal Vaccine GSK134612 When Co-administered With GSK Biologicals' Pneumococcal Vaccine GSK1024850A in Healthy 12-23-month-old Children Previously Primed With GSK1024850A,COMPLETED,PHASE_3,2008-10-30,2009-11-02,363.0,5.0,1.0,1.92,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,"Mexico, Taiwan",,"The purpose of this study is to demonstrate, in 12-23 months old subjects, the non-inferiority of meningococcal vaccine GSK134612 and pneumococcal vaccine GSK1024850A when co-administered, compared to each vaccine administered individually.",ALL,,https://clinicaltrials.gov/study/NCT00758264,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT01345721,Persistence Of Antibody Responses Among Children Who Previously Received Novartis MenACWY Conjugate Vaccine or Meningococcal C Conjugate Vaccine,"A Phase IIIb, Open-Label, Controlled, Multi-Center Study to Evaluate the Persistence Of Antibody Responses Among Children Who Previously Received Novartis MenACWY Conjugate Vaccine or Meningococcal C Conjugate Vaccine",COMPLETED,PHASE_3,2011-05-01,2011-09-01,205.0,11.0,1.83,3.75,INTERVENTIONAL,,,,Novartis Vaccines,N/A,Germany,,"The primary purpose of this study is to evaluate the persistence of bactericidal antibodies in children of approximately 22 to 45 months of age previously enrolled in the V59P22 study (NCT00667602) who received Novartis MenACWY Conjugate Vaccine or Meningococcal C Conjugate Vaccine. This is measured by percentage of subjects with human Serum Bactericidal Assay (hSBA) titers ≥ 1:8 directed against Neisseria meningitidis serogroups A, C, W-135, and Y. In addition the response one month post an additional dose of Novartis MenACWY will be measured by percentage of subjects with hSBA titers ≥ 1:8 and GMTs.",ALL,,https://clinicaltrials.gov/study/NCT01345721,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00798304,"Study Evaluating Safety, Tolerability, and Immunogenicity of Meningococcal B Vaccine in Healthy Infants","An Open Label, Randomized, Phase 1/2 Trial Of The Safety, Tolerability, And Immunogenicity Of Meningococcal Group B Rlp2086 Vaccine In Healthy Infants",TERMINATED,PHASE_2,2009-01-01,2009-09-01,46.0,7.0,0.12,0.27,INTERVENTIONAL,,,,Pfizer,N/A,Spain,,The primary purpose of this study is to evaluate the safety and immunogenicity of an investigational meningococcal B vaccine in healthy infants.,ALL,,https://clinicaltrials.gov/study/NCT00798304,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00700713,Antibody Persistence and Booster Dose Response in Subjects Who Received Menactra® Three Years Earlier in Study MTA26,"Antibody Persistence and Booster Dose Response in Subjects Who Received Menactra® (Meningococcal [Groups A, C, Y, and W-135] Polysaccharide Diphtheria Toxoid Conjugate Vaccine) Three Years Earlier in Study MTA26",COMPLETED,PHASE_2,2008-06-01,2009-03-01,181.0,13.0,3.0,6.0,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,United States,,Study will evaluate the persistence of antibodies approximately three years after an initial dose of Menactra® vaccine in toddlers who participated in study MTA26 (NCT00643916) and age-matched Menactra naive participants. Objectives: * To assess the persistence of antibody responses three years after one or two doses of Menactra® vaccine in subjects who participated in study MTA26. * To describe the antibody responses to a single dose of Menactra® vaccine in subjects who had previously received one or two doses of Menactra® vaccine and in Menactra® vaccine-naïve subjects. * To describe the safety profile of a single dose of Menactra® vaccine in subjects.,ALL,,https://clinicaltrials.gov/study/NCT00700713,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00728260,36-Month Post-marketing Surveillance and Analysis of Menactra Vaccine in 2-10 Year Olds,"Post-licensure Safety Surveillance Study of Routine Use of Meningococcal (Groups A, C, Y, and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine (Menactra®) in Recipients 2 to 10 Years of Age.",COMPLETED,UNKNOWN,2005-07-01,2013-05-01,1421.0,1.0,,,OBSERVATIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,United States,,To further characterize the safety profile of Menactra vaccine and to identify any signals of potentially vaccine-related adverse events (AEs) not detected during pre-licensure studies.,ALL,,https://clinicaltrials.gov/study/NCT00728260,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,80,clinicaltrials,,,,,,,,,
NCT07252804,Immunogenicity and Safety of MenB Vaccine in Pediatric Patients With Autoimmune Rheumatic Diseases,Short- and Long-Term Immunogenicity and Safety of Meningococcal Group B Vaccine in Children and Adolescents With Autoimmune Rheumatic Diseases,RECRUITING,PHASE_4,2026-01-01,2027-12-30,263.0,0.0,2.0,25.0,INTERVENTIONAL,,,,University of Sao Paulo General Hospital,N/A,N/A,,"The goal of this clinical trial is to evaluate the humoral immunogenicity of the meningococcal B vaccine (MenB-4C) in pediatric patients with autoimmune rheumatic diseases (ARDs), compared to age- and sex-matched non-immunosuppressed controls. The main questions it aims to answer are: * To assess the influence of treatment on the response to the MenB-4C vaccine in patients with ARDs; * To evaluate the impact of the MenB-4C vaccine on disease activity in patients with ARDs; * To evaluate the safety of the MenB-4C vaccine in pediatric patients with ARDs and controls. * To evaluate the association between physical activity levels and immunogenicity after vaccination. Participants will: Receive the MenB-4C vaccine (Bexsero©), administered intramuscularly in the deltoid muscle, in a 2-dose schedule (0.5 mL each), 1 month apart. All participants will have blood samples collected immediately before vaccination at the baseline visit (D0), then receive the first vaccine dose on the same day (D0). The second dose will be administered 4 weeks after the first dose (D28). Blood samples will be collected on D0, D28, and D56. A final sample will be collected one year after the last dose (D208) to evaluate the persistence of immune response. At study entry and one month after each dose, patients will also be assessed for clinical and laboratory disease activity using disease-specific indices and scores. * Juvenile Systemic lupus erythematosus (JSLE): Systemic lupus erythematosus disease activity index 2000 (SLEDAI-2K) (CBC, anti-dsDNA, complement, urinalysis, protein/creatinine ratio) * Juvenile Idiopatic Arthritis (JIA): Juvenile Arthritis Disease Activity Score (JADAS) (ESR, CRP) * Juvenile dermatomyositis (JDM): Manual Muscle Testing (MMT) e Childhood Myositis Assessment Scale (CMAS): (CPK, transaminases, LDH) Researcher will also perform analysis in: Humoral immunogenicity will be assessed using serum bactericidal activity (SBA) assay with exogenous complement (baby rabbit, Pel Freez) against four test strains: H44/76 (fHBP), 5/99 (NadA), NZ98/254 (PorA), and M10713 (NHBA), from blood samples collected at D0, D28, D56, and D208. SBA assays will be conducted at the Immunology Center of the Adolfo Lutz Institute, São Paulo. Exogenous complement will be added to serially diluted serum samples, followed by the addition of a bacterial suspension. The humoral response rate induced by the vaccine, or seroconversion, will be defined by the bactericidal titer (the dilution that results in 50% bacterial killing within 60 minutes compared to the control), with titers ≥ 1:4 considered bactericidal. The geometric mean titers will be calculated using the exponential of the mean of the log-transformed concentrations. Immunosuppressive treatments (NSAIDs, prednisone/prednisolone, intra-articular steroids, hydroxychloroquine, methotrexate, azathioprine, leflunomide, cyclosporine, tacrolimus, mycophenolate mofetil, and biologics \[anti-TNF, tocilizumab, abatacept, belimumab, rituximab\]) will be recorded sistematicaly. Physical activity levels will be assessed using validated, age-appropriate methods.",ALL,,https://clinicaltrials.gov/study/NCT07252804,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
