nct_id,title,official_title,status,phase,start_date,completion_date,enrollment,num_locations,min_age_years,max_age_years,study_type,allocation,vaccine_names,all_interventions,sponsor,collaborators,countries,primary_outcome,summary,sex,healthy_volunteers,url,source,fetched_at,cleaned_at,quality_score,_source,pmid,authors,journal,publication_date,volume,issue,pages,doi,pub_type
NCT00297687,"Study Evaluating the Safety, Immunogenicity and Tolerability of Meningococcal Group B Vaccine in Healthy Adults","A Randomized, Placebo-Controlled, Double Blind, Phase 1 Trial of the Safety, Immunogenicity, and Tolerability of Ascending Doses of Meningococcal Group B rLP2086 Vaccine in Healthy Adults",COMPLETED,PHASE_1,2006-03-01,2007-03-01,108.0,3.0,18.0,25.0,INTERVENTIONAL,,,,Wyeth is now a wholly owned subsidiary of Pfizer,N/A,Australia,,To determine the safety \& immunogenicity of a potential vaccine against meningococcal B disease,ALL,,https://clinicaltrials.gov/study/NCT00297687,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT06113198,A Study on the Immune Response and Safety of a Vaccine Against N. Meningitidis Serogroup B Infection in Healthy Infants From 2 Months of Age,"A Phase 4, Single-arm, Open-label, Multi-center Study to Assess the Immune Response and Safety of the Meningococcal Group B Vaccine MenB+OMV NZ When Administered to Healthy Infants From 2 Months of Age in the Republic of Korea",RECRUITING,PHASE_4,2023-11-10,2027-07-30,50.0,10.0,0.17,0.42,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,South Korea,,The purpose of this study is to assess the safety and immune responses of rMenB+OMV NZ vaccine when administered to healthy infants from 2 months in the Republic of Korea according to a 2-dose primary schedule and 1 booster dose.,ALL,,https://clinicaltrials.gov/study/NCT06113198,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT01640652,MenPF-1 - A New Vaccine Against Meningococcal Disease,"A Phase I, Single Centre, Open-label Dose-escalation Study to Assess the Safety and Immunogenicity of Three Doses of 25µg or 50 µg of Meningococcal Serogroup B Outer Membrane Vesicle Vaccine MenPF-1",COMPLETED,PHASE_1,2012-08-01,2022-05-06,52.0,1.0,18.0,50.0,INTERVENTIONAL,,,,University of Oxford,N/A,United Kingdom,,"In this study the investigators are testing a new vaccine against Neisseria meningitidis, the leading infective cause of childhood death in the UK. This bug (also known as meningococcus) can infect the lining of the brain (meningitis) or the blood stream (septicaemia) and can affect all ages, but especially children, adolescents and young adults. The bug is classified into different groups based on its outer capsule (or shell), and this study will test a new vaccine to protect against group B meningococcus (MenB) disease, which is the most common type in the UK. Vaccines are given to prepare the immune system to fight an infection. Vaccines work by stimulating the immune system to produce specialised proteins (called antibodies) and white blood cells designed to kill the bug later in life if needed. Vaccines against other types of meningococcus have been developed and saved many lives. However MenB is different because its outer capsule does not stimulate the immune system very effectively. There is therefore no broadly effective vaccine against MenB disease.",ALL,,https://clinicaltrials.gov/study/NCT01640652,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT04318548,Study to Assess the Safety and Immunogenicity of GSK Meningococcal Group B Vaccine When Administered Concomitantly With GSK Meningococcal MenACWY Conjugate Vaccine in Healthy Subjects of 16-18 Years of Age,"A Phase IIIB, Randomized, Observer-blind, Multicenter Study to Assess the Safety and Immunogenicity of GSK's Meningococcal Group B Vaccine When Administered Concomitantly With GSK's Meningococcal MenACWY Conjugate Vaccine to Healthy Subjects of 16-18 Years of Age",COMPLETED,PHASE_3,2020-08-25,2023-11-21,945.0,53.0,16.0,18.0,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,"Italy, United States",,"The purpose of this study is to evaluate the immunogenicity, safety and tolerability of rMenB+OMV NZ and MenACWY vaccines when concomitantly administered to healthy subjects 16-18 years of age.",ALL,,https://clinicaltrials.gov/study/NCT04318548,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00661713,"Safety, Tolerability and Immunogenicity of Novartis Meningococcal B Recombinant Vaccine Administered to Healthy Adolescents According to Different Vaccination Schedules","A Phase 2b/3, Multi-Center, Observer-Blind, Controlled Study of the Safety, Tolerability and Immunogenicity of Novartis Meningococcal B Recombinant Vaccine Administered to Healthy Adolescents Aged 11-17 Years According to Different Vaccination Schedules",COMPLETED,PHASE_2,2008-06-01,2010-12-01,1631.0,10.0,11.0,17.0,INTERVENTIONAL,,,,Novartis Vaccines,N/A,Chile,,"The proposed study is aimed to assess the antibody response and short-term persistence of Novartis Meningococcal B Vaccine after one, two or three doses and to evaluate the optimal vaccination schedule in an adolescent population.",ALL,,https://clinicaltrials.gov/study/NCT00661713,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT01434680,Evaluating the Comparative Safety and Immunogenicity of Three Lots of Novartis Meningococcal C Conjugate Vaccine in Healthy Toddlers,"A Phase 2, Randomized, Comparative, Multicenter Observer-Blind Study Evaluating the Safety and Immunogenicity of the New Liquid Formulation of Novartis Meningococcal C Conjugate Vaccine and of the Novartis Lyophilized Meningococcal C Conjugate Vaccine Manufactured at Two Different Sites, in Healthy Toddlers",COMPLETED,PHASE_2,2011-09-01,2012-11-01,992.0,11.0,1.0,1.92,INTERVENTIONAL,,,,Novartis,N/A,Poland,,The study was to evaluate the safety and and immune response of each of three lots of Novartis Meningococcal C Conjugate Vaccine (MenC-CRM Liquid) when administered to Healthy Toddlers.,ALL,,https://clinicaltrials.gov/study/NCT01434680,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00127855,Dose Ranging Study of Combined Haemophilus Influenzae Type B-Meningococcal Serogroups CY (Hib-MenCY-TT) Vaccine,"A Phase II, Open (Partially Double-blind), Randomised, Controlled, Multicentre, Primary Vaccination Study to Evaluate the Immunogenicity (Including Immune Memory), Reactogenicity and Safety of Three Different Formulations of the GSK Biologicals' Combined Haemophilus Influenzae Type B-meningococcal Serogroups CY Conjugate Vaccine Given Concomitantly With Infanrix® Penta and Prevenar®, Versus ActHIB® and Meningitec® Given Concomitantly With Infanrix® Penta and Versus ActHIB® Given Concomitantly With Infanrix® Penta and Prevenar® in Infants According to a 2-4-6 Month Schedule.",COMPLETED,PHASE_2,2003-03-01,2004-02-12,409.0,3.0,0.12,0.23,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,Australia,,"This study evaluated the safety and immunogenicity of 3 formulations of Hib-MenCY-TT vaccine compared to 2 control groups receiving licensed meningococcal serogroup C conjugate vaccine and/or licensed Hib conjugate vaccine administered at 2, 4, and 6 months of age. Antibody persistence and immune responses to polysaccharide vaccine boosters were additionally assessed at 11 to 14 months of age.",ALL,,https://clinicaltrials.gov/study/NCT00127855,clinicaltrials,2026-01-03T15:50:12.299750,2026-01-03T15:50:12.299750,100,clinicaltrials,,,,,,,,,
NCT00254995,"Descriptive, Post-marketing, Surveillance Safety Study of Menactra Vaccine","Post-licensure Safety Surveillance Study of Routine Use of Meningococcal (Groups A, C, Y, and W-135) Polysaccharide Diphtheria Toxoid Conjugate Vaccine (Menactra ™)",COMPLETED,UNKNOWN,2005-07-01,2013-05-01,62626.0,1.0,,,OBSERVATIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,United States,,To further characterize the safety profile of Menactra vaccine and to identify any signals of potentially vaccine-related adverse events (AEs) not detected during pre-licensure studies.,ALL,,https://clinicaltrials.gov/study/NCT00254995,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,80,clinicaltrials,,,,,,,,,
NCT00316654,Persistence of Antibody Response to N. Meningitidis Group C in Children,"A Phase IV,Multi-Center,Open-Label,Unrandomized Study to Evaluate the Persistence of Antibody Response to N.Meningitidis Group C,Before & After 2 Doses of the Conjugate Pneumococcal Vaccine,in Children Seven Months & Older Who Previously Received Immunization With Chiron Meningococcal C Conjugate Vaccine & a Hexavalent Infant Vaccine According to the Applicable Infant Immunization Schedule",COMPLETED,PHASE_4,2005-02-01,2005-10-01,489.0,2.0,0.58,,INTERVENTIONAL,,,,Novartis Vaccines,N/A,"Spain, Poland",,Persistence of Antibody Response to N. meningitidis Group C in Children,ALL,,https://clinicaltrials.gov/study/NCT00316654,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,95,clinicaltrials,,,,,,,,,
NCT01767376,Immunogenicity and Safety Study of GlaxoSmithKline (GSK) Biologicals' Meningococcal Conjugate Vaccine (GSK134612) When Co-administered With Boostrix® in Subjects Between 11 and 25 Years of Age,"Immunogenicity, Safety and Reactogenicity Study of GSK Biologicals' Meningococcal Conjugate Vaccine (GSK134612) When Co-administered With Boostrix® in Healthy Adolescents and Young Adults Between 11 and 25 Years of Age",COMPLETED,PHASE_3,2013-01-10,2014-01-16,692.0,15.0,11.0,25.0,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,"South Korea, Dominican Republic, Germany",,"The purpose of this study is to assess the immunogenicity, safety and reactogenicity of the meningococcal conjugate vaccine (MenACWY-TT) co-administered with Boostrix® versus each of the two vaccines given separately in healthy adolescents and young adults.",ALL,,https://clinicaltrials.gov/study/NCT01767376,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00808028,A Study Evaluating Safety And Immunogenicity Of Meningococcal B Rlp2086 Vaccine In Adolescents,"A Randomized, Single-blind, Placebo-controlled, Phase 2 Trial Of The Safety, Immunogenicity, And Tolerability Of Meningococcal Serogroup B (Mnb) Rlp2086 Vaccine At Doses Of 60 Mug, 120 Mug, And 200 Mug In Healthy Adolescents Aged 11 To 18 Years",COMPLETED,PHASE_2,2009-02-01,2014-03-01,538.0,27.0,11.0,18.0,INTERVENTIONAL,,,,Pfizer,N/A,"Australia, Spain, Poland",,The purpose of this study is to evaluate the safety and immunogenicity of an investigational meningococcal B rLP2086 vaccine in adolescents aged 11 to 18 years old.,ALL,,https://clinicaltrials.gov/study/NCT00808028,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT05093829,Meningococcal Serogroup ACYWX Conjugate Vaccine in Comparison With MenACWY-TT Conjugate Vaccine,"A Phase 3 Trial to Evaluate the Safety, Immunogenicity, and Non-Interference With Concomitant Routine Vaccines, of a Meningococcal Serogroup ACYWX Conjugate Vaccine (NmCV-5) in Comparison With MenACWY-TT Conjugate Vaccine in Healthy Malian Infants",COMPLETED,PHASE_3,2022-03-24,2025-02-20,1325.0,1.0,0.75,0.92,INTERVENTIONAL,,,,Emory University,N/A,Mali,,Infants aged 9 months will be randomized to receive a meningococcal vaccine at 9 months or 15 months. Infants randomized to the 9-month age group will be further randomized in a 2:1 ratio to receive a single dose of the experimental meningococcal vaccine (NmCV-5) or a single dose of the comparator meningococcal vaccine (MenACWY-TT). Prospectively identified and consented infants randomized to the 15-month age group will return when aged 15 months and will be randomized in a 2:1 ratio to receive a single dose of NmCV-5 or a single dose of MenACWY-TT.,ALL,,https://clinicaltrials.gov/study/NCT05093829,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00248833,Safety and Immunogenicity Study of Group B Meningococcal Vaccine to Prevent Meningitis.,"Phase 1 Dose Esc Study of Safety and Immun of 3 Injections, Given at 0, 6 and 24 Wks, of Grp B Meningococcal 44/76 MOS NOMV 5D Vaccine Admin to Healthy Subjs IM With and Without Adjuvant",COMPLETED,PHASE_1,2005-12-05,2007-12-01,34.0,1.0,18.0,45.0,INTERVENTIONAL,,,,U.S. Army Medical Research and Development Command,N/A,United States,,"The purpose of this study is to determine if the vaccine called Group B Meningococcal 44/76 MOS NOMV 5D Vaccine is safe and free from side effects and if it will protect people from meningitis. This study will vaccinate three groups of people. In the first 2 groups, the study will be double-blinded. This means that neither the volunteer or the medical team will know which formulation of the vaccine was administered. The third group of volunteers and the medical team will know that they are receiving the higher dose of the vaccine.",ALL,,https://clinicaltrials.gov/study/NCT00248833,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT02633787,Persistence of Bactericidal Antibodies in Adults Who Received a Booster Dose of Menactra® Approximately 4 Years Earlier,Persistence of Bactericidal Antibodies in Adults Who Received a Booster Dose of Menactra® Approximately Four Years Earlier,COMPLETED,PHASE_4,2015-12-01,2016-03-01,110.0,4.0,18.0,,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,United States,,The aim of this study is to provide information on the persistence of bactericidal antibodies following Menactra booster vaccination in study MTA77 ( NCT01442675). Objective: * To evaluate the persistence of antibody responses (determined by a serum bactericidal assay using human complement (SBA-HC)) approximately 4 years after the administration of a booster dose of Menactra vaccine in trial MTA77,ALL,,https://clinicaltrials.gov/study/NCT02633787,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,95,clinicaltrials,,,,,,,,,
NCT03077438,Study of an Investigational Quadrivalent Meningococcal Conjugate Vaccine Administered in Children Aged 2 to 9 Years,Immunogenicity and Safety of an Investigational Quadrivalent Meningococcal Conjugate Vaccine Administered in Healthy Children 2 to 9 Years of Age,COMPLETED,PHASE_3,2017-02-17,2017-10-10,1000.0,36.0,2.0,9.0,INTERVENTIONAL,,,,"Sanofi Pasteur, a Sanofi Company",N/A,"Puerto Rico, United States",,"The purpose of the study was to evaluate the immunogenicity and describe the safety of Meningococcal Polysaccharide (Serogroups A, C, Y and W) Tetanus Toxoid (MenACYW) Conjugate vaccine compared to the licensed Meningococcal (Groups A, C, Y and W 135) Oligosaccharide Diphtheria CRM197 (MENVEO®) vaccine in children 2 to 9 years of age in the United States (US) and Puerto Rico. Primary objective: \- To demonstrate the non-inferiority of the vaccine seroresponse to meningococcal serogroups A, C, Y, and W following the administration of a single dose of MenACYW Conjugate vaccine compared to that observed following the administration of a single dose of MENVEO® in children aged 2 to 9 years. Secondary objectives: * To compare the serum bactericidal assay using human complement (hSBA) antibody geometric mean titers (GMTs) of meningococcal serogroups A, C, Y, and W following the administration of MenACYW Conjugate vaccine to those observed following the administration of MENVEO® in children 2 to 9 years of age. * To evaluate the hSBA antibody GMTs of meningococcal serogroups A, C, Y, and W following the administration of MenACYW Conjugate vaccine and those observed following the administration of MENVEO® in children 2 to 5 years of age, and in children 6 to 9 years of age, respectively. * To evaluate the hSBA vaccine seroresponse to meningococcal serogroups A, C, Y, and W before and 30 days (+14 days) post-vaccination in children 2 to 5 years of age, and in children 6 to 9 years of age, respectively. Observational objective: \- To describe the safety profile of MenACYW Conjugate vaccine and that of the licensed MENVEO®.",ALL,,https://clinicaltrials.gov/study/NCT03077438,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00721396,"Safety, Tolerability and Immunogenicity of Meningococcal B Recombinant Vaccine Administered With or Without Routine Infant Vaccinations to Healthy Infants According to Different Immunization Schedules","A Phase 2b, Open Label, Randomized, Parallel-Group, Multi-Center Study to Evaluate the Safety, Tolerability and Immunogenicity of Novartis Meningococcal B Recombinant Vaccine When Administered With or Without Routine Infant Vaccinations to Healthy Infants According to Different Immunization Schedules.",COMPLETED,PHASE_2,2008-08-01,2010-07-01,1885.0,60.0,0.15,0.24,INTERVENTIONAL,,,,Novartis Vaccines,N/A,"Germany, Spain, Italy, Czechia, United Kingdom, Belgium",,"Primary :1.To demonstrate a sufficient immune response of rMenB+OMV NZ, when given concomitantly with routine infant vaccines to healthy infants at 2, 4 and 6 and 2, 3 and 4 months of age, as measured by percentage of subjects with serum bactericidal activity (SBA) titer ≥1:5, at 1 month after the third vaccination Secondary :To demonstrate that immunogenicity of routine infant vaccines, when given concomitantly with rMenB+OMV NZ to healthy infants at 2, 3 and 4 months of age, was non-inferior to that of routine infant vaccines given without rMenB+OMV NZ. 2. To demonstrate that the immunogenicity of rMenB+OMV NZ when given concomitantly with routine infant vaccines was non-inferior to that of rMenB+OMV NZ given without routine infant vaccines at 2, 4 and 6 months of age. 3. To assess prevalence of meningococcal B antibodies over the study period by evaluation of SBA, at baseline and at 1 month after third vaccination, in subjects- received routine infant vaccine without rMenB+OMV NZ.",ALL,,https://clinicaltrials.gov/study/NCT00721396,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00289783,Safety and Immunogenicity Study of Hib-MenCY-TT Vaccine Compared to Licensed Hib Conjugate Vaccine,"A Phase III, Randomized, Multinational Study, Double-blinded for the Immunogenicity and Consistency Evaluation of 3 Hib-MenCY-TT Vaccine Lots and Single-blinded and Controlled for the Evaluation of Safety and Immunogenicity of GSK Biologicals' Haemophilus Influenzae Type b and Neisseria Meningitidis Serogroups C and Y-tetanus Toxoid Conjugate Vaccine Combined (Hib-MenCY-TT) Compared to Monovalent Hib Vaccine in Healthy Infants at 2, 4, 6, and 12 to 15 Months of Age.",COMPLETED,PHASE_3,2006-02-22,2008-02-26,4441.0,93.0,0.12,1.25,INTERVENTIONAL,,,,GlaxoSmithKline,N/A,"Mexico, Australia, United States",,"This study evaluates the immunogenicity and consistency of 3 Hib-MenCY-TT vaccine lots and the safety and immunogenicity of Hib-MenCY-TT vaccine compared to a control group receiving licensed Hib conjugate vaccine, when each are co-administered with Pediarix® to healthy infants at 2, 4, and 6 months of age. The study will also evaluate the safety and immunogenicity of Hib-MenCY-TT vaccine compared to a control group receiving licensed Hib conjugate vaccine, when each are co-administered with M-M-R® II and Varivax® at 12 to 15 months of age.",ALL,,https://clinicaltrials.gov/study/NCT00289783,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT03274102,Safety and Immunogenicity of Concomitant Administration of EV71 Vaccine With EPI Vaccines,"A Randomized, Controlled Clinical Trial to Evaluate the Safety and Immunogenicity of Concomitant Administration of EV71 Vaccine With Recombinant Hepatitis B Vaccine/Group A Meningococcal Polysaccharide Vaccine",COMPLETED,PHASE_4,2017-04-22,2017-11-01,780.0,1.0,0.5,0.5,INTERVENTIONAL,,,,"Sinovac Biotech Co., Ltd",N/A,China,,The purpose of this study is to evaluate the safety and immunogenicity of concomitant administration of EV71 vaccine with recombinant hepatitis B vaccine/Group A meningococcal polysaccharide vaccine.,ALL,,https://clinicaltrials.gov/study/NCT03274102,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT04415424,Efficacy Study of 4CMenB (Bexsero®) to Prevent Gonorrhoea Infection in Gay and Bisexual Men,"A Multi-centre Randomised Controlled Trial Evaluating the Efficacy of the Four-component Meningococcal B Vaccine, 4CMenB (Bexsero®), in the Prevention of Neisseria Gonorrhoeae Infection in Gay and Bisexual Men",RECRUITING,PHASE_3,2021-07-08,2025-10-30,650.0,7.0,18.0,50.0,INTERVENTIONAL,,,,Kirby Institute,N/A,Australia,,"This is a Phase 3, double-blinded, randomised placebo-controlled, multi-centred trial evaluating the efficacy of the four-component meningococcal B vaccine, 4CMenB (Bexsero®), in the prevention of Neisseria gonorrhoeae infection.The targeted population is 18-50 years-old men (cis and trans), trans women and non-binary people who have sex with men (hereafter referred to as Gay Bisexual Men+ \[GBM+\], either HIV-negative and taking pre-exposure prophylaxis \[PrEP\], or HIV-positive with undetectable viral load \<200copies/ml and a cluster of differentiation 4 \[CD4\] count \>350 cells/cmm) who have high N. gonorrhoeae incidence and are recommended by Australian guidelines to have regular, comprehensive sexual health screening. 730 participants will be enrolled and randomised 1:1 and stratified by clinical sites to receive two doses of 4CMenB vaccine or a matching placebo at 0 and 3 months by intramuscular injection. Recruitment is for 12 months and all participants will be follow-up 3-monthly for a period of 2 years. The trial aims to evaluate the efficacy of 4CMenB in the prevention of N. gonorrhoeae infection.",ALL,,https://clinicaltrials.gov/study/NCT04415424,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00119080,Effect of Meningococcal Conjugate Vaccine on Meningococcal Carriage,"Evaluation of the Effect of Tetravalent (A, C, Y, W-135) Meningococcal Conjugate Vaccine on Serogroup-Specific Carriage of Neisseria Meningitidis",COMPLETED,PHASE_4,2006-08-01,2007-05-01,4000.0,0.0,,,INTERVENTIONAL,,,,Centers for Disease Control and Prevention,N/A,N/A,,"The purpose of this study is to determine whether the new meningococcal conjugate vaccine (MCV4) can reduce asymptomatic carriage of meningococcal bacteria, and thus decrease the transmission of these bacteria in the population.",ALL,,https://clinicaltrials.gov/study/NCT00119080,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,90,clinicaltrials,,,,,,,,,
NCT01768117,"Study To Describe The Safety, Tolerability, And Immunogenicity Of Bivalent Rlp2086 Vaccine In Laboratory Workers ≥18 To ≤65 Years Of Age","A Single-arm, Open-label Study To Describe The Safety, Tolerability, And Immunogenicity Of Bivalent Rlp2086 Vaccine In Laboratory Workers >=18 To < =65 Years Of Age",COMPLETED,PHASE_2,2013-02-01,2014-02-01,13.0,1.0,18.0,65.0,INTERVENTIONAL,,,,Pfizer,N/A,United States,,"This study will assess the safety, tolerability and immunogenicity of bivalent rLP2086 vaccine in laboratory workers ≥18 to ≤65 years of age administered on a Month 0, 2, and 6 schedule. The study will recruit laboratory personnel (inclusive of Pfizer staff) who work directly with pathogenic Neisseria meningitidis in the context of the bivalent rLP2086 vaccine development program. The study will provide descriptive safety and immunogenicity data following vaccination of these individuals with bivalent rLP2086 vaccine.",ALL,,https://clinicaltrials.gov/study/NCT01768117,clinicaltrials,2026-01-03T15:50:12.300741,2026-01-03T15:50:12.300741,100,clinicaltrials,,,,,,,,,
NCT00310713,Persistence of Antibodies and Kinetics of B Cell Response in Healthy Children After Vaccination With MCC Vaccine,"A Phase IV, Single Centre, Open-label Study to Investigate the Kinetics of the B Cell Response to the C Saccharide Component of Chiron's Meningococcal C Conjugate Vaccine Administered to Healthy Children at Least 12 Months of Age After Priming With a Commercially Available Men ACWY Conjugate Vaccine at 2, 3 and 4 Months of Age",COMPLETED,PHASE_4,2006-04-01,2006-08-01,33.0,1.0,1.0,1.08,INTERVENTIONAL,,,,Novartis Vaccines,N/A,United Kingdom,,Persistence of antibodies and kinetics of B cell response in healthy children after vaccination with MCC vaccine,ALL,,https://clinicaltrials.gov/study/NCT00310713,clinicaltrials,2026-01-03T15:50:12.301750,2026-01-03T15:50:12.301750,100,clinicaltrials,,,,,,,,,
NCT01973218,Safety and Immunogenicity Study of Two Doses of Novartis Meningococcal Serogroup B Recombinant Vaccine in Adolescents Aged 11-17 Years.,"A Phase 3, Randomized, Observer-blind, Multicenter Study to Evaluate the Immunogenicity and Safety of Novartis rMenB+OMV NZ Vaccine in Healthy Subjects Aged 11 to 17 Years in Korea",COMPLETED,PHASE_3,2013-11-01,2014-04-01,264.0,7.0,11.0,17.0,INTERVENTIONAL,,,,Novartis Vaccines,N/A,South Korea,,"The purpose of the study was to assess the immunogenicity and safety of two doses of Novartis Meningococcal B Recombinant (rMenB+OMV NZ) vaccine administered one month apart (0, 1 month schedule) in Korean adolescents aged between 11 to 17 years.",ALL,,https://clinicaltrials.gov/study/NCT01973218,clinicaltrials,2026-01-03T15:50:12.301750,2026-01-03T15:50:12.301750,100,clinicaltrials,,,,,,,,,
NCT01900899,Persistence of Antibodies After Meningococcal Vaccine PF-06866681 in Healthy Children,"A PHASE III, OPEN, MULTI-CENTRE, CONTROLLED STUDY TO EVALUATE THE LONG-TERM ANTIBODY PERSISTENCE AT 2, 3, 4, 5 AND 6 YEARS AFTER A BOOSTER DOSE OF MENINGOCOCCAL SEROGROUP A, C, W-135, Y- TETANUS TOXOID CONJUGATE VACCINE (MENACWY-TT) OR MENINGITEC (REGISTERED) ADMINISTERED IN HEALTHY 5-YEAR-OLD CHILDREN IN STUDY MENACWY-TT-048 EXT: 039 Y2, 3, 4, 5 (112036), WHO WERE PRIMED WITH THE SAME VACCINE IN STUDY MENACWY-TT-039 (109670) AT 12 THROUGH 23 MONTHS OF AGE.",COMPLETED,PHASE_3,2013-07-01,2017-11-01,184.0,10.0,,,INTERVENTIONAL,,,,Pfizer,N/A,Finland,,"The purpose of this study is to evaluate the long-term antibody persistence as well as safety of GSK Biologicals' MenACWY-TT vaccine versus Meningitec up to 6 years after booster vaccination administered in healthy 5 year old children in the study MENACWY-TT-048 EXT: 039 Y2, 3, 4, 5 (NCT00955682), who were primed with the same vaccine in the study MENACWY-TT-039 (NCT00474266) at 12 through 23 months of age.",ALL,,https://clinicaltrials.gov/study/NCT01900899,clinicaltrials,2026-01-03T15:50:12.301750,2026-01-03T15:50:12.301750,90,clinicaltrials,,,,,,,,,
